Date,open,high,low,final,vol
2021-06-11,42836000,43394000,42060000,42742000,3355.601657
2021-06-10,43282000,44620000,41810000,42836000,16175.74918
2021-06-09,38495000,43610000,37200000,43278000,17850.77219
2021-06-08,39065000,39642000,36364000,38494000,12529.11361
2021-06-07,41780000,42458000,38916000,39064000,8579.505901
2021-06-06,41942000,42455000,41445000,41780000,4781.23098
2021-06-05,42938000,43766000,41468000,41943000,6891.398741
2021-06-04,45429000,45500000,42210000,42938000,9703.70957
2021-06-03,43744000,45692000,43439000,45431000,8776.669532
2021-06-02,43207000,44341000,42550000,43732000,7405.760642
2021-06-01,43761000,44550000,42515000,43200000,9081.150288
2021-05-31,43177000,44235000,41304000,43761000,10111.06622
2021-05-30,42688000,43827000,40580000,43177000,9194.807917
2021-05-29,43723000,44812000,41405000,42688000,10628.40445
2021-05-28,46568000,47069000,43009000,43723000,14678.13363
2021-05-27,47324000,48120000,45423000,46563000,10358.06805
2021-05-26,47067000,49081000,46265000,47325000,11383.19581
2021-05-25,46932000,49113000,45197000,47047000,15379.79581
2021-05-24,42585000,47452000,41253000,46963000,22353.30935
2021-05-23,47444000,48592000,39331000,42585000,27384.56413
2021-05-22,49080000,49260000,43957000,47460000,16597.85063
2021-05-21,51318000,52726000,45701000,49112000,22198.51901
2021-05-20,50477000,53070000,48328000,51320000,21350.74078
2021-05-19,53404000,53992000,42595000,50379000,40112.80873
2021-05-18,54057000,56366000,53001000,53419000,15075.11028
2021-05-17,57655000,58000000,51381000,54057000,27456.36267
2021-05-16,58814000,60721000,55500000,57649000,16552.58712
2021-05-15,61795000,62118000,57900000,58807000,17507.50703
2021-05-14,63080000,63656000,61001000,61797000,13221.57504
2021-05-13,62380000,65472000,60200000,63069000,22547.53575
2021-05-12,69714000,70499000,60854000,62257000,22173.23807
2021-05-11,70902000,71750000,67597000,69741000,11913.27783
2021-05-10,71506000,72460000,70175000,70902000,13095.61795
2021-05-09,71728000,73129000,70147000,71505000,11786.59649
2021-05-08,68564000,71879000,67610000,71740000,12558.40387
2021-05-07,68760000,69729000,66900000,68563000,12047.21445
2021-05-06,68700000,70853000,67899000,68767000,13078.36833
2021-05-05,66828000,70007000,66500000,68679000,11726.5522
2021-05-04,69996000,70490000,66500000,66829000,12631.44767
2021-05-03,68452000,70999000,68281000,69996000,9426.098452
